event_id,hit_id,track_id
21139,1,7986
21139,2,7914
21139,3,7546
21139,4,2078
21139,5,7910
21139,6,7912
21139,7,0
21139,8,1904
21139,9,7778
21139,10,7913
21139,11,2423
21139,12,2523
21139,13,7849
21139,14,7911
21139,15,7779
21139,16,2077
21139,17,2079
21139,18,7635
21139,19,1903
21139,20,2376
21139,21,7487
21139,22,8096
21139,23,8067
21139,24,2375
21139,25,7476
21139,26,2141
21139,27,2559
21139,28,5168
21139,29,7522
21139,30,7436
21139,31,7439
21139,32,7435
21139,33,5083
21139,34,5159
21139,35,1960
21139,36,7476
21139,37,2376
21139,38,7451
21139,39,7779
21139,40,7849
21139,41,1904
21139,42,1908
21139,43,1907
21139,44,7986
21139,45,0
21139,46,2424
21139,47,0
21139,48,0
21139,49,8080
21139,50,0
21139,51,7987
21139,52,0
21139,53,7781
21139,54,1905
21139,55,7912
21139,56,2261
21139,57,2263
21139,58,2262
21139,59,7914
21139,60,7852
21139,61,2079
21139,62,7913
21139,63,7988
21139,64,7915
21139,65,2525
21139,66,0
21139,67,1959
21139,68,7435
21139,69,5182
21139,70,7750
21139,71,5159
21139,72,2485
21139,73,7521
21139,74,5202
21139,75,7850
21139,76,7853
21139,77,2426
21139,78,7780
21139,79,7987
21139,80,7777
21139,81,7776
21139,82,7919
21139,83,7782
21139,84,2425
21139,85,2486
21139,86,7855
21139,87,2262
21139,88,7988
21139,89,8081
21139,90,0
21139,91,0
21139,92,7915
21139,93,7851
21139,94,7917
21139,95,7852
21139,96,1959
21139,97,0
21139,98,7452
21139,99,2186
21139,100,5202
21139,101,1961
21139,102,7684
21139,103,2021
21139,104,5082
21139,105,7750
21139,106,5213
21139,107,2022
21139,108,7488
21139,109,7564
21139,110,2526
21139,111,0
21139,112,7734
21139,113,1999
21139,114,2023
21139,115,2487
21139,116,1961
21139,117,2398
21139,118,2310
21139,119,2560
21139,120,1909
21139,121,7851
21139,122,7783
21139,123,7855
21139,124,2081
21139,125,2265
21139,126,7854
21139,127,7991
21139,128,7918
21139,129,2427
21139,130,7919
21139,131,2429
21139,132,2264
21139,133,8074
21139,134,7990
21139,135,0
21139,136,8081
21139,137,7993
21139,138,2080
21139,139,7917
21139,140,7856
21139,141,7992
21139,142,7784
21139,143,7921
21139,144,0
21139,145,0
21139,146,7920
21139,147,8082
21139,148,0
21139,149,0
21139,150,5214
21139,151,5203
21139,152,5169
21139,153,1962
21139,154,8106
21139,155,5125
21139,156,2142
21139,157,2526
21139,158,5126
21139,159,2487
21139,160,2488
21139,161,5126
21139,162,1962
21139,163,5169
21139,164,1963
21139,165,2214
21139,166,2527
21139,167,2000
21139,168,7453
21139,169,2001
21139,170,0
21139,171,0
21139,172,7856
21139,173,1911
21139,174,7785
21139,175,7857
21139,176,0
21139,177,2266
21139,178,7994
21139,179,7920
21139,180,7922
21139,181,2082
21139,182,8108
21139,183,2427
21139,184,2084
21139,185,2080
21139,186,7784
21139,187,2083
21139,188,2085
21139,189,2430
21139,190,7921
21139,191,7783
21139,192,7990
21139,193,8083
21139,194,7992
21139,195,1910
21139,196,2488
21139,197,0
21139,198,2561
21139,199,7489
21139,200,7626
21139,201,2529
21139,202,2024
21139,203,5223
21139,204,0
21139,205,2528
21139,206,7477
21139,207,7453
21139,208,0
21139,209,5076
21139,210,8083
21139,211,2312
21139,212,7924
21139,213,7858
21139,214,7857
21139,215,2428
21139,216,7861
21139,217,7923
21139,218,0
21139,219,7925
21139,220,8072
21139,221,8108
21139,222,7922
21139,223,2430
21139,224,2267
21139,225,7997
21139,226,1913
21139,227,7926
21139,228,0
21139,229,2350
21139,230,1912
21139,231,7717
21139,232,7477
21139,233,7454
21139,234,2143
21139,235,2489
21139,236,2025
21139,237,2348
21139,238,2349
21139,239,2053
21139,240,2311
21139,241,2378
21139,242,2529
21139,243,2187
21139,244,2351
21139,245,2002
21139,246,2489
21139,247,5160
21139,248,0
21139,249,5184
21139,250,5170
21139,251,2144
21139,252,2025
21139,253,7996
21139,254,7788
21139,255,2086
21139,256,7928
21139,257,8123
21139,258,7858
21139,259,8001
21139,260,7997
21139,261,7995
21139,262,2432
21139,263,7859
21139,264,0
21139,265,0
21139,266,2088
21139,267,7861
21139,268,7925
21139,269,7998
21139,270,7787
21139,271,0
21139,272,7924
21139,273,8000
21139,274,2493
21139,275,7642
21139,276,2352
21139,277,1964
21139,278,2313
21139,279,0
21139,280,2530
21139,281,2002
21139,282,1965
21139,283,2491
21139,284,2144
21139,285,2003
21139,286,7641
21139,287,2189
21139,288,2493
21139,289,2314
21139,290,7548
21139,291,1964
21139,292,0
21139,293,7523
21139,294,2003
21139,295,2317
21139,296,5155
21139,297,2490
21139,298,5215
21139,299,1967
21139,300,1965
21139,301,2188
21139,302,7862
21139,303,2089
21139,304,7859
21139,305,2090
21139,306,7928
21139,307,8001
21139,308,7790
21139,309,2431
21139,310,2268
21139,311,2433
21139,312,7927
21139,313,0
21139,314,7789
21139,315,7788
21139,316,1914
21139,317,7786
21139,318,8123
21139,319,7860
21139,320,8109
21139,321,0
21139,322,2188
21139,323,2004
21139,324,2145
21139,325,0
21139,326,2315
21139,327,2563
21139,328,2490
21139,329,1967
21139,330,1966
21139,331,7548
21139,332,5155
21139,333,7696
21139,334,2317
21139,335,7628
21139,336,2147
21139,337,7628
21139,338,2436
21139,339,7524
21139,340,2531
21139,341,2315
21139,342,2316
21139,343,2319
21139,344,7696
21139,345,2492
21139,346,0
21139,347,8109
21139,348,7929
21139,349,2268
21139,350,7927
21139,351,2092
21139,352,7791
21139,353,8084
21139,354,2090
21139,355,2434
21139,356,7786
21139,357,8004
21139,358,7862
21139,359,2093
21139,360,2435
21139,361,2437
21139,362,8003
21139,363,0
21139,364,7491
21139,365,2319
21139,366,2436
21139,367,1968
21139,368,2316
21139,369,8004
21139,370,2437
21139,371,2146
21139,372,7863
21139,373,8084
21139,374,2094
21139,375,7792
21139,376,7931
21139,377,8005
21139,378,2148
21139,379,2269
21139,380,2091
21139,381,7794
21139,382,0
21139,383,7930
21139,384,7441
21139,385,2353
21139,386,2190
21139,387,5084
21139,388,1968
21139,389,7490
21139,390,2005
21139,391,7455
21139,392,7478
21139,393,0
21139,394,2320
21139,395,2318
21139,396,5077
21139,397,1970
21139,398,7478
21139,399,2027
21139,400,2318
21139,401,7697
21139,402,7567
21139,403,7629
21139,404,2353
21139,405,7686
21139,406,0
21139,407,2494
21139,408,0
21139,409,7864
21139,410,2271
21139,411,8110
21139,412,8006
21139,413,7863
21139,414,8007
21139,415,0
21139,416,7865
21139,417,7931
21139,418,0
21139,419,7794
21139,420,2095
21139,421,7793
21139,422,7930
21139,423,2438
21139,424,2270
21139,425,8005
21139,426,0
21139,427,1969
21139,428,2191
21139,429,2532
21139,430,2028
21139,431,5128
21139,432,7629
21139,433,7525
21139,434,2006
21139,435,2029
21139,436,2215
21139,437,2567
21139,438,5140
21139,439,2593
21139,440,1918
21139,441,8007
21139,442,8085
21139,443,7550
21139,444,1915
21139,445,1916
21139,446,8008
21139,447,8110
21139,448,2438
21139,449,7864
21139,450,7865
21139,451,7933
21139,452,2271
21139,453,2096
21139,454,8006
21139,455,0
21139,456,5127
21139,457,0
21139,458,7457
21139,459,2149
21139,460,5085
21139,461,2192
21139,462,7937
21139,463,7867
21139,464,8009
21139,465,2098
21139,466,7796
21139,467,8085
21139,468,1917
21139,469,7934
21139,470,7935
21139,471,7866
21139,472,7795
21139,473,7936
21139,474,0
21139,475,0
21139,476,7932
21139,477,2096
21139,478,2272
21139,479,8010
21139,480,7797
21139,481,5156
21139,482,2149
21139,483,0
21139,484,7456
21139,485,7716
21139,486,2568
21139,487,2354
21139,488,2150
21139,489,2533
21139,490,2495
21139,491,5225
21139,492,8086
21139,493,1920
21139,494,0
21139,495,7937
21139,496,8062
21139,497,7868
21139,498,7799
21139,499,8009
21139,500,0
21139,501,7866
21139,502,7934
21139,503,8111
21139,504,7935
21139,505,0
21139,506,7797
21139,507,1923
21139,508,7795
21139,509,2097
21139,510,1973
21139,511,7796
21139,512,1919
21139,513,1972
21139,514,8010
21139,515,1971
21139,516,2151
21139,517,0
21139,518,7443
21139,519,2439
21139,520,0
21139,521,2381
21139,522,0
21139,523,2321
21139,524,2379
21139,525,2216
21139,526,2380
21139,527,7568
21139,528,2356
21139,529,2152
21139,530,2151
21139,531,2216
21139,532,5217
21139,533,2355
21139,534,1971
21139,535,5216
21139,536,2323
21139,537,1974
21139,538,2154
21139,539,0
21139,540,5204
21139,541,0
21139,542,8098
21139,543,7798
21139,544,8086
21139,545,1920
21139,546,8124
21139,547,2441
21139,548,8012
21139,549,8125
21139,550,7872
21139,551,2322
21139,552,8011
21139,553,1923
21139,554,2496
21139,555,2274
21139,556,7444
21139,557,2273
21139,558,2099
21139,559,1921
21139,560,8112
21139,561,7869
21139,562,1925
21139,563,8013
21139,564,2442
21139,565,7868
21139,566,1922
21139,567,8111
21139,568,0
21139,569,1973
21139,570,2154
21139,571,2323
21139,572,2355
21139,573,5162
21139,574,5217
21139,575,5218
21139,576,0
21139,577,0
21139,578,2153
21139,579,1974
21139,580,5204
21139,581,5161
21139,582,2356
21139,583,7458
21139,584,7659
21139,585,5187
21139,586,7458
21139,587,5086
21139,588,0
21139,589,2155
21139,590,7644
21139,591,8113
21139,592,2326
21139,593,2153
21139,594,5162
21139,595,7659
21139,596,2099
21139,597,8124
21139,598,8126
21139,599,2443
21139,600,1924
21139,601,7871
21139,602,7800
21139,603,7869
